latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.63387,95.35122,326.76,0.52,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.71,2.48,D
22.63511,95.34915,334.33,0.52,0.67,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.37,2.73,D
22.64918,97.54392,331.17,0.38,0.59,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.93,1.09,D
22.65434,97.54217,367.0,0.38,0.59,2026-01-16,601,N20,VIIRS,h,2.0NRT,296.58,8.11,D
22.65496,95.40587,334.1,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.53,3.76,D
22.70814,95.41717,329.8,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.13,2.46,D
22.74605,95.4986,329.09,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.77,2.74,D
22.7478,95.49513,337.9,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.47,4.38,D
22.76754,95.52522,328.04,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.77,2.76,D
22.77036,95.52238,329.15,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.46,6.37,D
22.77343,95.52364,335.32,0.5,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.64,2.76,D
22.78666,95.60538,329.26,0.5,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.86,3.72,D
22.79004,95.60751,343.42,0.5,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.8,4.56,D
22.79878,99.27518,332.14,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,300.54,8.27,D
22.80007,99.28141,340.52,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,287.66,8.27,D
22.81692,95.4155,345.41,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.25,7.08,D
22.82953,95.62868,349.83,0.49,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.31,6.82,D
22.85201,99.21852,338.8,0.59,0.53,2026-01-16,601,N20,VIIRS,n,2.0NRT,286.49,10.63,D
22.858,99.32355,341.19,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,287.84,13.16,D
22.85844,99.31953,340.64,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.58,13.73,D
22.88335,95.33953,332.58,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.26,4.25,D
22.89602,99.23946,344.72,0.58,0.52,2026-01-16,601,N20,VIIRS,n,2.0NRT,301.53,64.43,D
22.90176,95.3907,347.49,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.96,5.0,D
22.90289,95.39545,329.68,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.88,5.0,D
22.97818,94.01024,341.68,0.62,0.71,2026-01-16,601,N20,VIIRS,n,2.0NRT,293.46,8.0,D
22.97865,94.00968,341.36,0.62,0.71,2026-01-16,601,N20,VIIRS,n,2.0NRT,293.35,9.7,D
23.00374,97.66344,338.4,0.36,0.58,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.75,2.79,D
23.08285,95.52069,331.6,0.49,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.6,4.27,D
23.10645,96.08173,329.25,0.46,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.48,5.02,D
23.10747,96.08604,337.07,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.79,5.02,D
23.11186,96.08371,367.0,0.46,0.63,2026-01-16,601,N20,VIIRS,h,2.0NRT,296.5,9.0,D
23.16829,95.72382,334.69,0.48,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.42,2.67,D
23.19587,97.89639,326.57,0.35,0.57,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.32,2.33,D
24.09715,98.65158,330.92,0.6,0.53,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.24,4.83,D
24.95511,97.07225,355.57,0.36,0.57,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.25,12.06,D
24.95588,97.07571,367.0,0.36,0.57,2026-01-16,601,N20,VIIRS,h,2.0NRT,293.88,10.53,D
24.98751,97.0709,329.63,0.36,0.57,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.21,2.87,D
24.988,97.06909,329.95,0.36,0.57,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.24,2.41,D
25.1698,97.363,326.67,0.34,0.56,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.59,1.86,D
25.17224,97.36332,334.54,0.34,0.56,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.51,2.3,D
25.25751,95.98797,329.95,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.9,2.25,D
25.65266,94.36626,330.17,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,288.53,7.29,D
25.65374,94.37068,350.5,0.51,0.66,2026-01-16,601,N20,VIIRS,n,2.0NRT,288.32,7.29,D
25.73518,99.7706,343.82,0.48,0.48,2026-01-16,601,N20,VIIRS,n,2.0NRT,287.61,10.72,D
25.85835,98.63825,327.12,0.55,0.51,2026-01-16,601,N20,VIIRS,n,2.0NRT,284.31,8.42,D
26.44399,94.9636,345.22,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.73,18.97,D
26.44507,94.96812,367.0,0.45,0.63,2026-01-16,601,N20,VIIRS,h,2.0NRT,291.05,18.97,D
26.48724,94.96879,326.38,0.45,0.63,2026-01-16,601,N20,VIIRS,l,2.0NRT,296.94,4.85,D
26.48999,94.97136,325.53,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.97,7.97,D
26.49226,94.96468,342.64,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.35,8.32,D
26.49328,94.969,329.95,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.44,4.85,D
26.49389,94.96275,353.68,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,298.88,17.93,D
26.4949,94.9669,367.0,0.45,0.63,2026-01-16,601,N20,VIIRS,h,2.0NRT,293.88,17.93,D
26.50379,94.95408,326.22,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,287.96,3.14,D
26.50935,94.90253,335.73,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,298.33,104.43,D
26.51094,94.90911,367.0,0.45,0.63,2026-01-16,601,N20,VIIRS,h,2.0NRT,293.31,95.58,D
26.51311,94.91812,331.07,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,289.7,95.58,D
26.51482,94.90022,207.93,0.45,0.63,2026-01-16,601,N20,VIIRS,l,2.0NRT,313.57,104.43,D
26.51634,94.90654,367.0,0.45,0.63,2026-01-16,601,N20,VIIRS,l,2.0NRT,325.66,95.58,D
26.51838,94.91499,343.39,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,310.3,95.58,D
26.52086,94.9253,356.24,0.45,0.63,2026-01-16,601,N20,VIIRS,l,2.0NRT,288.41,42.64,D
