id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
121773,25.83498,119.20572,355.45,0.46,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,297.57,31.3,D
121774,25.92005,116.06979,332.16,0.44,0.46,2026-01-18,503,N,VIIRS,n,2.0NRT,297.41,2.24,D
121775,25.92408,116.07102,330.43,0.44,0.46,2026-01-18,503,N,VIIRS,n,2.0NRT,296.29,2.69,D
121776,26.54678,118.77139,329.84,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,295.18,1.81,D
121777,26.54716,118.77486,330.57,0.47,0.4,2026-01-18,503,N,VIIRS,n,2.0NRT,298.42,2.73,D
121778,26.55491,118.79763,327.22,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,295.95,2.37,D
121779,26.56107,118.78822,325.26,0.47,0.39,2026-01-18,503,N,VIIRS,l,2.0NRT,296.22,2.36,D
121780,26.56469,118.78755,327.06,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,296.31,2.36,D
121781,26.79458,119.71977,327.53,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,295.32,3.84,D
121782,26.98774,119.82655,338.31,0.42,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,294.23,4.92,D
121783,26.99321,119.52477,334.5,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,297.05,3.79,D
121784,27.20078,118.88087,326.59,0.45,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,291.26,5.14,D
121785,27.20156,118.88535,330.51,0.45,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,295.06,5.14,D
121786,27.33226,120.26536,331.14,0.41,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,293.21,3.84,D
121787,27.78315,118.99588,330.56,0.44,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,291.99,2.36,D
121788,27.78395,118.99928,328.35,0.44,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,291.9,2.45,D
121789,27.83893,116.49667,334.1,0.38,0.44,2026-01-18,503,N,VIIRS,n,2.0NRT,293.21,2.86,D
121790,27.87276,118.78652,338.31,0.45,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,293.53,4.28,D
121791,28.08531,116.27261,327.01,0.39,0.44,2026-01-18,503,N,VIIRS,n,2.0NRT,292.93,2.11,D
121792,28.18344,115.93665,331.2,0.41,0.45,2026-01-18,503,N,VIIRS,n,2.0NRT,293.06,2.47,D
121793,28.27735,117.13931,347.61,0.53,0.42,2026-01-18,503,N,VIIRS,n,2.0NRT,296.52,16.2,D
121794,28.63615,119.05672,334.82,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,295.04,3.75,D
121795,28.72885,118.55199,325.87,0.45,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,293.24,3.02,D
121796,28.98167,119.08169,331.22,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,292.54,3.08,D
121797,29.2223,117.02023,329.31,0.51,0.41,2026-01-18,503,N,VIIRS,n,2.0NRT,292.05,4.65,D
121798,29.31987,115.77198,347.84,0.4,0.44,2026-01-18,503,N,VIIRS,n,2.0NRT,291.73,5.47,D
121799,29.32323,119.3158,328.64,0.42,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,294.14,6.35,D
121800,29.32394,119.32,331.09,0.42,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,293.48,6.0,D
121801,29.4185,116.83943,328.19,0.52,0.42,2026-01-18,503,N,VIIRS,n,2.0NRT,294.62,3.75,D
121802,29.81816,117.56912,328.59,0.48,0.4,2026-01-18,503,N,VIIRS,n,2.0NRT,290.45,1.97,D
121803,29.81861,117.56705,331.0,0.48,0.4,2026-01-18,503,N,VIIRS,n,2.0NRT,290.39,3.8,D
121804,29.88884,115.14254,339.2,0.42,0.45,2026-01-18,503,N,VIIRS,n,2.0NRT,290.56,6.98,D
121805,29.89088,115.14317,340.26,0.42,0.45,2026-01-18,503,N,VIIRS,n,2.0NRT,289.43,5.2,D
121806,30.11116,115.24521,329.28,0.41,0.45,2026-01-18,503,N,VIIRS,n,2.0NRT,292.69,3.5,D
121807,30.33363,116.60556,328.73,0.52,0.41,2026-01-18,503,N,VIIRS,n,2.0NRT,288.89,3.04,D
121808,30.44636,118.60297,329.15,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,291.27,2.08,D
121809,30.44962,117.23804,325.25,0.48,0.4,2026-01-18,503,N,VIIRS,n,2.0NRT,290.35,2.78,D
121810,30.47886,115.41887,327.25,0.39,0.44,2026-01-18,503,N,VIIRS,n,2.0NRT,289.08,2.49,D
121811,31.09997,118.02608,326.45,0.44,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,291.38,1.97,D
121812,31.1164,119.03768,336.84,0.41,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,287.07,3.15,D
121813,31.11979,119.0369,337.01,0.41,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,286.97,3.15,D
121814,31.13694,118.17097,341.72,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,292.79,6.64,D
121815,31.18787,119.14911,325.31,0.41,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,288.6,3.5,D
121816,31.38516,119.29867,329.03,0.4,0.37,2026-01-18,503,N,VIIRS,n,2.0NRT,292.68,3.05,D
121817,32.66133,131.71684,338.61,0.38,0.59,2026-01-18,503,N,VIIRS,n,2.0NRT,293.65,2.62,D
121818,32.66133,131.71712,335.79,0.38,0.59,2026-01-18,503,N,VIIRS,n,2.0NRT,293.84,4.09,D
121819,35.02678,136.87621,326.07,0.78,0.78,2026-01-18,503,N,VIIRS,n,2.0NRT,290.34,7.13,D
121820,35.04906,136.89388,328.63,0.78,0.78,2026-01-18,503,N,VIIRS,n,2.0NRT,289.32,3.9,D
121821,35.04969,136.8942,327.64,0.78,0.78,2026-01-18,503,N,VIIRS,n,2.0NRT,288.71,2.6,D
121822,35.11303,135.00092,348.47,0.62,0.71,2026-01-18,503,N,VIIRS,n,2.0NRT,283.24,8.1,D
121823,35.11688,135.00308,332.76,0.61,0.71,2026-01-18,503,N,VIIRS,n,2.0NRT,282.88,5.9,D
121824,35.13046,135.00916,344.69,0.62,0.71,2026-01-18,503,N,VIIRS,n,2.0NRT,282.63,8.87,D
121825,35.13346,135.01366,328.9,0.62,0.71,2026-01-18,503,N,VIIRS,n,2.0NRT,281.19,6.51,D
121826,35.03138,102.69498,350.08,0.76,0.77,2026-01-18,505,N,VIIRS,n,2.0NRT,273.32,23.76,D
121827,35.03513,102.69452,353.11,0.76,0.77,2026-01-18,505,N,VIIRS,n,2.0NRT,272.96,15.88,D
121828,39.73283,122.75675,331.18,0.47,0.4,2026-01-18,505,N,VIIRS,n,2.0NRT,274.12,3.24,D
121829,40.4811,110.50325,325.83,0.44,0.46,2026-01-18,508,N,VIIRS,n,2.0NRT,275.22,1.87,D
121830,40.50163,111.31631,344.47,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,274.8,6.83,D
121831,40.5066,111.31946,331.97,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,272.65,4.87,D
121832,40.50856,111.30872,344.69,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,274.76,6.47,D
121833,40.51557,111.34108,327.51,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,272.03,4.1,D
121834,40.5225,111.33351,344.5,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,272.87,3.97,D
121835,40.52943,111.32593,338.7,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,273.17,4.84,D
121836,40.54134,111.34145,325.65,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,271.39,3.23,D
121837,40.55348,110.66515,325.52,0.43,0.46,2026-01-18,508,N,VIIRS,n,2.0NRT,274.0,2.43,D
121838,40.55624,111.27378,347.04,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,275.3,8.64,D
121839,40.55828,111.28305,351.81,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,272.77,11.45,D
121840,40.5593,111.28767,328.72,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,274.2,5.84,D
121841,40.56977,111.43266,352.83,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,272.26,5.73,D
